Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
12/13/1994,450.149994,1994,,,,,,,,
12/14/1994,454.970001,1994,,,,,,,,
12/15/1994,455.339996,1994,,,,,,,,
12/16/1994,458.799988,1994,,,,,,,,
12/19/1994,457.910004,1994,,,,,,,,
12/20/1994,457.100006,1994,,,,,,,,
12/21/1994,459.609985,1994,,,,,,,,
12/22/1994,459.679993,1994,,,,,,,,
12/23/1994,459.829987,1994,,,,,,,,
12/27/1994,462.470001,1994,,,,,,,,
12/28/1994,460.859985,1994,,,,,,,,
12/29/1994,461.170013,1994,,,,,,,,
12/30/1994,459.269989,1994,,,,,,,,
1/3/1995,459.109985,1995,,,,,,,,
1/4/1995,460.709991,1995,,,,,,,,
1/5/1995,460.339996,1995,,,,,,,,
1/6/1995,460.679993,1995,,,,,,,,
1/9/1995,460.829987,1995,,,,,,,,
1/10/1995,461.679993,1995,,,,,,,,
1/11/1995,461.660004,1995,,,,,,,,
1/12/1995,461.640015,1995,,,,,,,,
1/13/1995,465.970001,1995,,,,,,,,
1/16/1995,469.380005,1995,,,,,,,,
1/17/1995,470.049988,1995,,,,,,,,
1/18/1995,469.709991,1995,,,,,,,,
1/19/1995,466.950012,1995,,,,,,,,
1/20/1995,464.779999,1995,,,,,,,,
1/23/1995,465.820007,1995,,,,,,,,
1/24/1995,465.859985,1995,,,,,,,,
1/25/1995,467.440002,1995,,,,,,,,
1/26/1995,468.320007,1995,,,,,,,,
1/27/1995,470.390015,1995,,,,,,,,
1/30/1995,468.51001,1995,,,,,,,,
1/31/1995,470.420013,1995,,,,,,,,
2/1/1995,470.399994,1995,,,,,,,,
2/2/1995,472.790009,1995,,,,,,,,
2/3/1995,478.649994,1995,,,,,,,,
2/6/1995,481.140015,1995,,,,,,,,
2/7/1995,480.809998,1995,,,,,,,,
2/8/1995,481.190002,1995,,,,,,,,
2/9/1995,480.190002,1995,,,,,,,,
2/10/1995,481.459991,1995,,,,,,,,
2/13/1995,481.649994,1995,,,,,,,,
2/14/1995,482.549988,1995,,,,,,,,
2/15/1995,484.540009,1995,,,,,,,,
2/16/1995,485.220001,1995,,,,,,,,
2/17/1995,481.970001,1995,,,,,,,,
2/21/1995,482.720001,1995,,,,,,,,
2/22/1995,485.070007,1995,,,,,,,,
2/23/1995,486.910004,1995,,,,,,,,
2/24/1995,488.109985,1995,,,,,,,,
2/27/1995,483.809998,1995,,,,,,,,
2/28/1995,487.390015,1995,,,,,,,,
3/1/1995,485.649994,1995,,,,,,,,
3/2/1995,485.130005,1995,,,,,,,,
3/3/1995,485.420013,1995,,,,,,,,
3/6/1995,485.630005,1995,,,,,,,,
3/7/1995,482.119995,1995,,,,,,,,
3/8/1995,483.140015,1995,,,,,,,,
3/9/1995,483.160004,1995,,,,,,,,
3/10/1995,489.570007,1995,,,,,,,,
3/13/1995,490.049988,1995,,,,,,,,
3/14/1995,492.890015,1995,,,,,,,,
3/15/1995,491.880005,1995,,,,,,,,
3/16/1995,495.410004,1995,,,,,,,,
3/17/1995,495.519989,1995,,,,,,,,
3/20/1995,496.140015,1995,,,,,,,,
3/21/1995,495.070007,1995,,,,,,,,
3/22/1995,495.670013,1995,,,,,,,,
3/23/1995,495.950012,1995,,,,,,,,
3/24/1995,500.970001,1995,,,,,,,,
3/27/1995,503.200012,1995,,,,,,,,
3/28/1995,503.899994,1995,,,,,,,,
3/29/1995,503.119995,1995,,,,,,,,
3/30/1995,502.220001,1995,,,,,,,,
3/31/1995,500.709991,1995,,,,,,,,
4/3/1995,501.850006,1995,,,,,,,,
4/4/1995,505.23999,1995,,,,,,,,
4/5/1995,505.570007,1995,,,,,,,,
4/6/1995,506.079987,1995,,,,,,,,
4/7/1995,506.420013,1995,,,,,,,,
4/10/1995,507.01001,1995,,,,,,,,
4/11/1995,505.529999,1995,,,,,,,,
4/12/1995,507.170013,1995,,,,,,,,
4/13/1995,509.230011,1995,,,,,,,,
4/17/1995,506.130005,1995,,,,,,,,
4/18/1995,505.369995,1995,,,,,,,,
4/19/1995,504.920013,1995,,,,,,,,
4/20/1995,505.290009,1995,,,,,,,,
4/21/1995,508.48999,1995,,,,,,,,
4/24/1995,512.890015,1995,,,,,,,,
4/25/1995,512.099976,1995,,,,,,,,
4/26/1995,512.659973,1995,,,,,,,,
4/27/1995,513.549988,1995,,,,,,,,
4/28/1995,514.710022,1995,,,,,,,,
5/1/1995,514.26001,1995,,,,,,,,
5/2/1995,514.859985,1995,,,,,,,,
5/3/1995,520.47998,1995,,,,,,,,
5/4/1995,520.539978,1995,,,,,,,,
5/5/1995,520.119995,1995,,,,,,,,
5/8/1995,523.960022,1995,,,,,,,,
5/9/1995,523.559998,1995,,,,,,,,
5/10/1995,524.359985,1995,,,,,,,,
5/11/1995,524.369995,1995,,,,,,,,
5/12/1995,525.549988,1995,,,,,,,,
5/15/1995,527.73999,1995,,,,,,,,
5/16/1995,528.190002,1995,,,,,,,,
5/17/1995,527.070007,1995,,,,,,,,
5/18/1995,519.580017,1995,,,,,,,,
5/19/1995,519.190002,1995,,,,,,,,
5/22/1995,523.650024,1995,,,,,,,,
5/23/1995,528.590027,1995,,,,,,,,
5/24/1995,528.609985,1995,,,,,,,,
5/25/1995,528.590027,1995,,,,,,,,
5/26/1995,523.650024,1995,,,,,,,,
5/30/1995,523.580017,1995,,,,,,,,
5/31/1995,533.400024,1995,,,,,,,,
6/1/1995,533.48999,1995,,,,,,,,
6/2/1995,532.51001,1995,,,,,,,,
6/5/1995,535.599976,1995,,,,,,,,
6/6/1995,535.549988,1995,,,,,,,,
6/7/1995,533.130005,1995,,,,,,,,
6/8/1995,532.349976,1995,,,,,,,,
6/9/1995,527.940002,1995,,,,,,,,
6/12/1995,530.880005,1995,,,,,,,,
6/13/1995,536.049988,1995,,,,,,,,
6/14/1995,536.469971,1995,,,,,,,,
6/15/1995,537.119995,1995,,,,,,,,
6/16/1995,539.830017,1995,,,,,,,,
6/19/1995,545.219971,1995,,,,,,,,
6/20/1995,544.97998,1995,,,,,,,,
6/21/1995,543.97998,1995,,,,,,,,
6/22/1995,551.070007,1995,,,,,,,,
6/23/1995,549.710022,1995,,,,,,,,
6/26/1995,544.130005,1995,,,,,,,,
6/27/1995,542.429993,1995,,,,,,,,
6/28/1995,544.72998,1995,,,,,,,,
6/29/1995,543.869995,1995,,,,,,,,
6/30/1995,544.75,1995,,,,,,,,
